French,English
partie,part
chercher,search
police,police
pensais,thought
genre,kind
frère,brother
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
bébé,baby
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
affaire,case
type,type
façon,way
dont,whose
premier,first
main,hand
première,first
côté,side
sois,be
tiens,here
matin,morning
enfant,child
venu,came
suite,after
chambre,bedroom
mari,husband
enfin,finally
attendez,Wait
nouvelle,new
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
